date,year,action,ticker,company,index_name,reason
"March 24, 2025",2025,removed,BBWI,"Bath & Body Works, Inc.",SP600SmallCap,CC was moved from the S&P 400 as it was more representative of the small cap market space. BBWI was moved to the S&P 400 as it was more representative of the mid-cap market space.
"March 24, 2025",2025,added,TDC,Teradata,SP600SmallCap,TDC was moved from the S&P 400 as it was more representative of the small cap market space. ATI was moved to the S&P 400 as it was more representative of the mid-cap market space.
"March 24, 2025",2025,removed,ATI,ATI Inc.,SP600SmallCap,TDC was moved from the S&P 400 as it was more representative of the small cap market space. ATI was moved to the S&P 400 as it was more representative of the mid-cap market space.
"March 24, 2025",2025,added,NEOG,Neogen,SP600SmallCap,NEOG was moved from the S&P 400 as it was more representative of the small cap market space. SATS was moved to the S&P 400 as it was more representative of the mid-cap market space.
"March 24, 2025",2025,removed,SATS,EchoStar,SP600SmallCap,NEOG was moved from the S&P 400 as it was more representative of the small cap market space. SATS was moved to the S&P 400 as it was more representative of the mid-cap market space.
"March 24, 2025",2025,added,RHP,Ryman Hospitality Properties,SP600SmallCap,RHP replaced WNC as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,removed,WNC,Wabash National,SP600SmallCap,RHP replaced WNC as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,added,ESI,Element Solutions,SP600SmallCap,ESI replaced GDOT as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,removed,GDOT,Green Dot Corporation,SP600SmallCap,ESI replaced GDOT as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,added,FRPT,Freshpet,SP600SmallCap,FRPT replaced FLGT as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,removed,FLGT,Fulgent Genetics,SP600SmallCap,FRPT replaced FLGT as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,added,WSC,WillScot Holdings Corp.,SP600SmallCap,WSC replaced NBR as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,removed,NBR,Nabors Industries,SP600SmallCap,WSC replaced NBR as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,added,MWA,Mueller Water Products,SP600SmallCap,MWA replaced GPRE as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,removed,GPRE,Green Plains Inc.,SP600SmallCap,MWA replaced GPRE as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,added,KTOS,Kratos Defense & Security Solutions,SP600SmallCap,KTOS replaced MATV as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,removed,MATV,Mativ Holdings,SP600SmallCap,KTOS replaced MATV as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,added,CLSK,CleanSpark,SP600SmallCap,CLSK replaced HAIN as it was no longer representative of the small-cap market space.
"March 24, 2025",2025,removed,HAIN,Hain Celestial Group,SP600SmallCap,CLSK replaced HAIN as it was no longer representative of the small-cap market space.
"February 25, 2025",2025,added,SNDK,SanDisk,SP600SmallCap,SNDK was spun off from Western Digital and replaced LESL which was no longer representative of the small-cap market space.
"February 25, 2025",2025,removed,LESL,Leslie's,SP600SmallCap,SNDK was spun off from Western Digital and replaced LESL which was no longer representative of the small-cap market space.
"February 19, 2025",2025,added,KAI,Kadant,SP600SmallCap,KAI replaced NARI after it was acquired by Stryker Corporation.
"February 19, 2025",2025,removed,NARI,Inari Medical,SP600SmallCap,KAI replaced NARI after it was acquired by Stryker Corporation.
"February 13, 2025",2025,added,GOLF,Acushnet Company,SP600SmallCap,GOLF replaced ROIC after it was acquired by Blackstone Inc.
"February 13, 2025",2025,removed,ROIC,Retail Opportunity Investments,SP600SmallCap,GOLF replaced ROIC after it was acquired by Blackstone Inc.
"February 10, 2025",2025,added,MRP,Millrose Properties,SP600SmallCap,MRP was spun off from Lennar and replaced IRWD which was no longer representative of the small-cap market space.
"February 10, 2025",2025,removed,IRWD,Ironwood Pharmaceuticals,SP600SmallCap,MRP was spun off from Lennar and replaced IRWD which was no longer representative of the small-cap market space.
"January 27, 2025",2025,added,ARWR,Arrowhead Pharmaceuticals,SP600SmallCap,B was acquired by Apollo Global Management. ARWR was moved from the S&P 400 to replace it as it was more representative of the small cap market space.
"January 27, 2025",2025,removed,B,Barnes Group,SP600SmallCap,B was acquired by Apollo Global Management. ARWR was moved from the S&P 400 to replace it as it was more representative of the small cap market space.
"January 14, 2025",2025,added,ENOV,Enovis,SP600SmallCap,"ARCH was acquired by Consol Energy. Following completion of the merger, Consol Energy will be renamed Core Natural Resources Inc., and its ticker will change to CNR. ENOV was moved from the S&P 400 to replace it as it was more representative of the small cap market space."
"January 14, 2025",2025,removed,ARCH,Arch Resources,SP600SmallCap,"ARCH was acquired by Consol Energy. Following completion of the merger, Consol Energy will be renamed Core Natural Resources Inc., and its ticker will change to CNR. ENOV was moved from the S&P 400 to replace it as it was more representative of the small cap market space."
"January 3, 2025",2025,added,JBTM,JBT Marel Corporation,SP600SmallCap,John Bean Technologies (JBT) acquired Marel and began trading under new symbol JBTM.
"January 3, 2025",2025,removed,JBT,John Bean Technologies Corporation,SP600SmallCap,John Bean Technologies (JBT) acquired Marel and began trading under new symbol JBTM.
"January 3, 2025",2025,added,ACAD,Acadia Pharmaceuticals,SP600SmallCap,ACAD replaced IBTX after it was acquired by SouthState Bank.
"January 3, 2025",2025,removed,IBTX,Independent Bank Group,SP600SmallCap,ACAD replaced IBTX after it was acquired by SouthState Bank.
"January 2, 2025",2025,added,GDYN,Grid Dynamics Holdings,SP600SmallCap,GDYN replaced GEAR after it was acquired by Strategic Value Partners.
"January 2, 2025",2025,removed,GEAR,Revelyst,SP600SmallCap,GDYN replaced GEAR after it was acquired by Strategic Value Partners.
"December 30, 2024",2024,added,INSW,International Seaways,SP600SmallCap,INSW replaced CNSL after it was acquired by British Columbia Investment Management Corporation and Searchlight Capital.
"December 30, 2024",2024,removed,CNSL,Consolidated Communications,SP600SmallCap,INSW replaced CNSL after it was acquired by British Columbia Investment Management Corporation and Searchlight Capital.
"December 23, 2024",2024,added,QRVO,Qorvo,SP600SmallCap,QRVO was moved from the S&P 500 as it was more representative of the small cap market space. KELYA was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"December 23, 2024",2024,removed,KELYA,Kelly Services,SP600SmallCap,QRVO was moved from the S&P 500 as it was more representative of the small cap market space. KELYA was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"December 23, 2024",2024,added,AMTM,Amentum,SP600SmallCap,AMTM was moved from the S&P 500 as it was more representative of the small cap market space. SVC was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"December 23, 2024",2024,removed,SVC,Service Properties Trust,SP600SmallCap,AMTM was moved from the S&P 500 as it was more representative of the small cap market space. SVC was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"December 23, 2024",2024,added,VSH,Vishay Intertechnology,SP600SmallCap,VSH was moved from the S&P 400 as it was more representative of the small cap market space. CMA was moved to the S&P 400 as it was more representative of the mid-cap market space.
"December 23, 2024",2024,removed,CMA,Comerica,SP600SmallCap,VSH was moved from the S&P 400 as it was more representative of the small cap market space. CMA was moved to the S&P 400 as it was more representative of the mid-cap market space.
"December 23, 2024",2024,added,CRI,Carter's,SP600SmallCap,CRI was moved from the S&P 400 as it was more representative of the small cap market space. CRS was moved to the S&P 400 as it was more representative of the mid-cap market space.
"December 23, 2024",2024,removed,CRS,Carpenter Technology,SP600SmallCap,CRI was moved from the S&P 400 as it was more representative of the small cap market space. CRS was moved to the S&P 400 as it was more representative of the mid-cap market space.
"December 23, 2024",2024,added,TRNO,Terreno Realty,SP600SmallCap,TRNO replaced HPP as it was no longer representative of the small-cap market space.
"December 23, 2024",2024,removed,HPP,Hudson Pacific Properties,SP600SmallCap,TRNO replaced HPP as it was no longer representative of the small-cap market space.
"December 23, 2024",2024,added,SKY,Champion Homes,SP600SmallCap,SKY replaced RGNX as it was no longer representative of the small-cap market space.
"December 23, 2024",2024,removed,RGNX,REGENXBIO,SP600SmallCap,SKY replaced RGNX as it was no longer representative of the small-cap market space.
"November 27, 2024",2024,added,CON,Concentra Group Holdings,SP600SmallCap,CON replaced MYE as it was no longer representative of the small-cap market space.
"November 27, 2024",2024,removed,MYE,Myers Industries,SP600SmallCap,CON replaced MYE as it was no longer representative of the small-cap market space.
"November 26, 2024",2024,added,AESI,Atlas Energy Solutions,SP600SmallCap,"AESI replaced MLI, which replaced Texas Pacific Land Corporation in the S&P 400 after it was moved to the S&P 500."
"November 26, 2024",2024,removed,MLI,Mueller Industries,SP600SmallCap,"AESI replaced MLI, which replaced Texas Pacific Land Corporation in the S&P 400 after it was moved to the S&P 500."
"November 25, 2024",2024,added,DFH,Dream Finders Homes,SP600SmallCap,DFH replaced HAYN after it was acquired by Acerinox.
"November 25, 2024",2024,removed,HAYN,Haynes International,SP600SmallCap,DFH replaced HAYN after it was acquired by Acerinox.
"November 25, 2024",2024,added,AZTA,Azenta,SP600SmallCap,ENV was acquired by Bain Capital. AZTA was moved from the S&P 400 to replace it as it was more representative of the small cap market space.
"November 25, 2024",2024,removed,ENV,Envestnet,SP600SmallCap,ENV was acquired by Bain Capital. AZTA was moved from the S&P 400 to replace it as it was more representative of the small cap market space.
"November 4, 2024",2024,added,ECG,Everus Construction Group,SP600SmallCap,ECG was spun off from MDU Resources and replaced CLW which was no longer representative of the small-cap market space.
"November 4, 2024",2024,removed,CLW,Clearwater Paper Corporation,SP600SmallCap,ECG was spun off from MDU Resources and replaced CLW which was no longer representative of the small-cap market space.
"October 15, 2024",2024,added,PENG,"Penguin Solutions, Inc.",SP600SmallCap,Smart Global Holdings (SGH) rebranded as Penguin Solutions (PENG).
"October 15, 2024",2024,removed,SGH,"Smart Global Holdings, Inc.",SP600SmallCap,Smart Global Holdings (SGH) rebranded as Penguin Solutions (PENG).
"October 11, 2024",2024,added,MDU,MDU Resources,SP600SmallCap,CHUY was acquired by Darden Restaurants. MDU was moved from the S&P 400 to replace it as it announced its intention to spin-off a company at a later date.
"October 11, 2024",2024,removed,CHUY,Chuy's,SP600SmallCap,CHUY was acquired by Darden Restaurants. MDU was moved from the S&P 400 to replace it as it announced its intention to spin-off a company at a later date.
"October 9, 2024",2024,added,HIMS,Hims & Hers Health,SP600SmallCap,HIMS replaced VGR after it was acquired by JT Group.
"October 9, 2024",2024,removed,VGR,Vector Group,SP600SmallCap,HIMS replaced VGR after it was acquired by JT Group.
"October 4, 2024",2024,added,CRGY,Crescent Energy Company,SP600SmallCap,CRGY replaced PRFT after it was acquired by EQT AB.
"October 4, 2024",2024,removed,PRFT,Perficient,SP600SmallCap,CRGY replaced PRFT after it was acquired by EQT AB.
"October 1, 2024",2024,added,CURB,Curbline Properties,SP600SmallCap,CURB was spun off from SITE Centers and replaced CCRN which was no longer representative of the small-cap market space.
"October 1, 2024",2024,removed,CCRN,Cross Country Healthcare,SP600SmallCap,CURB was spun off from SITE Centers and replaced CCRN which was no longer representative of the small-cap market space.
"October 1, 2024",2024,added,TMDX,TransMedics Group,SP600SmallCap,"TMDX replaced ENSG, which replaced Southwestern Energy in the S&P 400 after it was acquired by Chesapeake Energy."
"October 1, 2024",2024,removed,ENSG,Ensign Group,SP600SmallCap,"TMDX replaced ENSG, which replaced Southwestern Energy in the S&P 400 after it was acquired by Chesapeake Energy."
"October 1, 2024",2024,added,BBWI,"Bath & Body Works, Inc.",SP600SmallCap,BBWI was moved from the S&P 500 as it was more representative of the small cap market space. MOV was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"October 1, 2024",2024,removed,MOV,Movado,SP600SmallCap,BBWI was moved from the S&P 500 as it was more representative of the small cap market space. MOV was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,ETSY,Etsy,SP600SmallCap,ETSY was moved from the S&P 500 as it was more representative of the small cap market space. HVT was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,removed,HVT,Havertys,SP600SmallCap,ETSY was moved from the S&P 500 as it was more representative of the small cap market space. HVT was removed from the S&P 600 as it was no longer representative of the small-cap market space.
"September 23, 2024",2024,added,TGNA,Tegna Inc.,SP600SmallCap,TGNA was moved from the S&P 400 as it was more representative of the small cap market space. DBI was removed from the S&P 600 as it was no longer representative of the small-cap market space.
