ticker,company,cik,index_name
RGEN,Repligen,,SP400MidCap
RGLD,Royal Gold,,SP400MidCap
RH,RH,,SP400MidCap
RLI,RLI Corp.,,SP400MidCap
RMBS,Rambus,,SP400MidCap
RNR,RenaissanceRe,,SP400MidCap
ROIV,Roivant Sciences,,SP400MidCap
RPM,RPM International,,SP400MidCap
RRC,Range Resources,,SP400MidCap
RRX,Regal Rexnord,,SP400MidCap
RS,"Reliance, Inc.",,SP400MidCap
RYAN,Ryan Specialty,,SP400MidCap
RYN,Rayonier,,SP400MidCap
SAIA,Saia,,SP400MidCap
SAIC,Science Applications Intl Corp,,SP400MidCap
SAM,Boston Beer Company,,SP400MidCap
SARO,StandardAero,,SP400MidCap
SBRA,Sabra Health Care REIT,,SP400MidCap
SCI,Service Corp Intl,,SP400MidCap
SEIC,SEI Investments Company,,SP400MidCap
SF,Stifel,,SP400MidCap
SFM,Sprouts Farmers Market,,SP400MidCap
SGI,Somnigroup International,,SP400MidCap
SHC,Sotera Health,,SP400MidCap
SIGI,Selective Insurance Group,,SP400MidCap
SITM,SiTime,,SP400MidCap
SLAB,Silicon Labs,,SP400MidCap
SLGN,Silgan Holdings,,SP400MidCap
SLM,SLM Corp,,SP400MidCap
SMG,Scotts Miracle-Gro Company,,SP400MidCap
SN,SharkNinja,,SP400MidCap
SNX,TD Synnex,,SP400MidCap
SOLS,Solstice Advanced Materials,,SP400MidCap
SON,Sonoco,,SP400MidCap
SPXC,SPX Technologies,,SP400MidCap
SR,Spire,,SP400MidCap
SSB,South State Bank,,SP400MidCap
SSD,Simpson Manufacturing,,SP400MidCap
ST,Sensata Technologies,,SP400MidCap
STAG,STAG Industrial,,SP400MidCap
STRL,Sterling Infrastructure,,SP400MidCap
STWD,Starwood Property Trust,,SP400MidCap
SWX,Southwest Gas Corp,,SP400MidCap
SYNA,Synaptics,,SP400MidCap
TCBI,Texas Capital Bancshares,,SP400MidCap
TEX,Terex,,SP400MidCap
THC,Tenet Health,,SP400MidCap
THG,Hanover Insurance,,SP400MidCap
THO,Thor Industries,,SP400MidCap
TKR,Timken,,SP400MidCap
TLN,Talen Energy,,SP400MidCap
TMHC,Taylor Morrison,,SP400MidCap
TNL,Travel + Leisure Co.,,SP400MidCap
TOL,Toll Brothers,,SP400MidCap
TREX,Trex,,SP400MidCap
TRU,TransUnion,,SP400MidCap
TTC,Toro,,SP400MidCap
TTEK,Tetra Tech,,SP400MidCap
TTMI,TTM Technologies,,SP400MidCap
TWLO,Twilio,,SP400MidCap
TXNM,TXNM Energy,,SP400MidCap
TXRH,Texas Roadhouse,,SP400MidCap
UBSI,United Bankshares,,SP400MidCap
UFPI,UFP Industries,,SP400MidCap
UGI,UGI Corp,,SP400MidCap
ULS,UL Solutions,,SP400MidCap
UMBF,UMB Financial Corp.,,SP400MidCap
UNM,Unum,,SP400MidCap
USFD,US Foods,,SP400MidCap
UTHR,United Therapeutics,,SP400MidCap
VAL,Valaris,,SP400MidCap
VC,Visteon,,SP400MidCap
VFC,VF Corporation,,SP400MidCap
VICR,Vicor Corporation,,SP400MidCap
VLY,Valley Bank,,SP400MidCap
VMI,Valmont Industries,,SP400MidCap
VNO,Vornado Realty Trust,,SP400MidCap
VNOM,Viper Energy,,SP400MidCap
VNT,Vontier,,SP400MidCap
VOYA,Voya Financial,,SP400MidCap
VVV,Valvoline,,SP400MidCap
WAL,Western Alliance Bancorporation,,SP400MidCap
WBS,Webster Bank,,SP400MidCap
WCC,WESCO International,,SP400MidCap
WEX,WEX Inc.,,SP400MidCap
WFRD,Weatherford International,,SP400MidCap
WH,Wyndham Hotels & Resorts,,SP400MidCap
WHR,Whirlpool Corporation,,SP400MidCap
WING,Wingstop,,SP400MidCap
WLK,Westlake Corporation,,SP400MidCap
WMG,Warner Music Group,,SP400MidCap
WMS,Advanced Drainage Systems,,SP400MidCap
WPC,W. P. Carey,,SP400MidCap
WSO,Watsco,,SP400MidCap
WTFC,Wintrust Financial,,SP400MidCap
WTRG,Essential Utilities,,SP400MidCap
WTS,Watts Water Technologies,,SP400MidCap
WWD,"Woodward, Inc.",,SP400MidCap
XPO,"XPO, Inc.",,SP400MidCap
XRAY,Dentsply Sirona,,SP400MidCap
YETI,Yeti Holdings,,SP400MidCap
ZION,Zions Bancorporation,,SP400MidCap
